x_num,x_cat,y_num,y_cat
3.9573120795599506,C,2.034232203071935,Class 2
-0.3026967217233705,A,-1.596608644254795,Class 1
24.969108194601084,B,4.223336655073204,Class 3
14.177639221370603,C,2.7176738811580305,Class 3
0.3400343014121239,A,-2.8424494209956652,Class 1
79.38841155497205,A,0.16075401736228478,Class 2
14.310831698932375,B,2.5047408072761934,Class 2
5.473977950393717,C,0.3229989903320525,Class 2
102.72164363291196,B,1.1909164525125768,Class 2
0.9698635186475606,B,0.9142981955208322,Class 2
29.84951471800817,B,5.696397747823458,Class 3
26.701421182106017,B,5.175666280343508,Class 3
-4.7412793418854395,B,0.1980370686184263,Class 2
136.59177420110913,B,-1.3505345448879904,Class 1
19.041636643027438,C,2.726505072040018,Class 3
74.50471062647578,B,5.330479174913595,Class 3
20.359300549298208,A,-1.0180772787268326,Class 1
15.24950245348164,A,-0.0029768858515324403,Class 2
29.347934419269258,C,3.687301223188354,Class 3
36.83774319324345,A,-0.6253139651957147,Class 1
18.661179491694167,B,6.284298405522059,Class 3
35.95807204480989,B,1.7385733529790075,Class 2
107.97453888511951,A,-3.634660169098677,Class 1
4.213354037001599,A,-0.30686300491943896,Class 1
11.821058058611502,B,2.983540314556297,Class 3
65.56598757738334,A,1.7272645034993257,Class 2
-4.240160356777737,A,-1.8686076134768634,Class 1
15.689112254373281,B,4.318608941803447,Class 3
11.829575328104443,B,3.0680828580217243,Class 3
19.053277180029646,B,3.3854701652126034,Class 3
12.83550576444311,A,-1.448910630114351,Class 1
53.80761118015432,A,0.18958299518613053,Class 2
-2.4379053954896435,A,-1.715714883808151,Class 1
35.66627146068946,B,5.651806571890896,Class 3
13.897991565276929,A,0.2162569276265196,Class 2
8.651592191291359,C,2.782306940751293,Class 3
13.047485072131465,B,2.691582548745535,Class 3
66.75127771516998,B,3.9590768766452102,Class 3
8.519637681545895,B,2.6319037356840376,Class 3
3.214332155869509,B,2.108866100128919,Class 2
18.845392045315855,A,-1.3157482606442037,Class 1
